SentID	Original_file	AFINN	Modals	# of modals	Pos	Neg	Has Negation	Sentence
1	n	-0.5	{}	0	[]	"[['silly', -1]]"	FALSE	"simplistic , silly and tedious . "
2	n	1.06904	{'could': 1}	1	"[['funny', 4]]"	[]	FALSE	"it's so laddish and juvenile , only teenage boys could possibly find it funny . "
3	n	0	{'would': 1}	1	[]	[]	FALSE	exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable . 
4	n	-0.25	{}	0	[]	"[['discards', -1]]"	FALSE	"[garbus] discards the potential for pathological study , exhuming instead , the skewed melodrama of the circumstantial situation . "
5	n	0	{}	0	[]	[]	TRUE	a visually flashy but narratively opaque and emotionally vapid exercise in style and mystification . 
6	n	0.43644	{}	0	"[['care', 2]]"	[]	FALSE	"the story is also as unoriginal as they come , already having been recycled more times than i'd care to count . "
7	n	0	{}	0	[]	[]	FALSE	about the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience's meat grinder one more time . 
8	n	0	{}	0	[]	[]	TRUE	not so much farcical as sour . 
9	n	0	{}	0	[]	[]	FALSE	unfortunately the story and the actors are served with a hack script . 
10	n	-0.2	{}	0	"[['free', 1]]"	"[['murders', -2]]"	TRUE	"all the more disquieting for its relatively gore-free allusions to the serial murders , but it falls down in its attempts to humanize its subject . "
11	n	0	{}	0	"[['true', 2]]"	"[['mess', -2]]"	FALSE	a sentimental mess that never rings true . 
12	n	-0.20412	{'would': 1}	1	"[['better', 2]]"	"[['loose', -3]]"	FALSE	"while the performances are often engaging , this loose collection of largely improvised numbers would probably have worked better as a one-hour tv documentary . "
13	n	1	{}	0	"[['interesting', 2]]"	[]	TRUE	"interesting , but not compelling . "
14	n	-1	{'might': 1}	1	[]	"[['cutting', -1], ['no', -1], ['ironic', -1], ['frustrating', -2]]"	FALSE	"on a cutting room floor somewhere lies . . . footage that might have made no such thing a trenchant , ironic cultural satire instead of a frustrating misfire . "
15	n	0.32444	{}	0	"[['gained', 2]]"	[]	FALSE	"while the ensemble player who gained notice in guy ritchie's lock , stock and two smoking barrels and snatch has the bod , he's unlikely to become a household name on the basis of his first starring vehicle . "
16	n	0.83406	{}	0	"[['courage', 2], ['top', 2], ['care', 2]]"	"[['stupid', -2]]"	FALSE	there is a difference between movies with the courage to go over the top and movies that don't care about being stupid
17	n	0.8528	{}	0	"[['funny', 4]]"	[]	TRUE	"nothing here seems as funny as it did in analyze this , not even joe viterelli as de niro's right-hand goombah . "
18	n	0.3849	{}	0	"[['courtesy', 2]]"	[]	FALSE	"such master screenwriting comes courtesy of john pogue , the yale grad who previously gave us "" the skulls "" and last year's "" rollerball . "" enough said , except : film overboard ! "
19	n	0.43644	{}	0	"[['hail', 2]]"	[]	FALSE	"here , common sense flies out the window , along with the hail of bullets , none of which ever seem to hit sascha . "
20	n	0	{}	0	[]	[]	FALSE	this 100-minute movie only has about 25 minutes of decent material . 
21	n	0.1857	{'can': 1}	1	"[['positive', 2], ['pretty', 1]]"	"[['rob', -2]]"	FALSE	the execution is so pedestrian that the most positive comment we can make is that rob schneider actually turns in a pretty convincing performance as a prissy teenage girl . 
22	n	0.5	{}	0	"[['interesting', 2]]"	[]	TRUE	"on its own , it's not very interesting . as a remake , it's a pale imitation . "
23	n	0	{'will': 1}	1	"[['ability', 2], ['forgive', 1]]"	"[['lost', -3]]"	FALSE	it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there's a little girl-on-girl action . 
